Time,Use[kW],Gen[kW],Office[kW],Garage[kW],Kitchen[kW],LivingRoom[kW],Pressure[mm Hg],WindSpeed [mps],Temperature[C],ApparentTemperature[C],DewPoint[C]
1451624400,0.932833333,0.003483333,0.442633333,0.044433333,0.000566667,0.001516667,1016.91,9.18,36.14,29.26,24.4
1451624401,0.934333333,0.003466667,0.444066667,0.044616667,0.000566667,0.00165,1016.91,9.18,36.14,29.26,24.4
1451624402,0.931816667,0.003466667,0.446066667,0.0446,0.0006167,0.00165,1016.91,9.18,36.14,29.26,24.4
1451624403,1.02205,0.003483333,0.446583333,0.0445,0.00065,0.001616667,1016.91,9.18,36.14,29.26,24.4
1451624404,1.1394,0.003466667,0.446533333,0.044283333,0.000783333,0.001583333,1016.91,9.18,36.14,29.26,24.4
1451624405,1.391866667,0.003433333,0.447033333,0.043883333,0.00105,0.001583333,1016.91,9.18,36.14,29.26,24.4
1451624406,1.366216667,0.00345,0.443266667,0.043966667,0.001066667,0.001533333,1016.91,9.18,36.14,29.26,24.4
1451624407,1.4319,0.003416667,0.444283333,0.044283333,0.000933333,0.00155,1016.91,9.18,36.14,29.26,24.4
1451624408,1.6273,0.003416667,0.441466667,0.044483334,0.000783367,0.001566667,1016.91,9.18,36.14,29.26,24.4
1451624409,1.735383333,0.003416667,0.438733333,0.045016667,0.000416667,0.001616667,1016.91,9.18,36.14,29.26,24.4
1451624410,1.585083333,0.003416667,0.4402,0.04525,0.000499967,0.001566667,1016.91,9.18,36.14,29.26,24.4
1451624411,1.510316667,0.003433333,0.43695,0.045283333,0.000433333,0.001566667,1016.91,9.18,36.14,29.26,24.4
1451624412,1.459866667,0.00345,0.43995,0.0453,0.000466667,0.001583333,1016.91,9.18,36.14,29.26,24.4
1451624413,0.840583333,0.003433333,0.444783333,0.044966666,0.000850033,0.001616667,1016.91,9.18,36.14,29.26,24.4
1451624414,0.7032,0.003433333,0.443833333,0.044866667,0.000966666,0.00155,1016.91,9.18,36.14,29.26,24.4
1451624415,0.571883333,0.00345,0.307783333,0.044833333,0.000883333,0.001583333,1016.91,9.18,36.14,29.26,24.4
1451624416,0.485733333,0.00345,0.22045,0.04495,0.0008333,0.001616667,1016.91,9.18,36.14,29.26,24.4
1451624417,0.523166667,0.003433333,0.26005,0.044933333,0.000850033,0.001716667,1016.91,9.18,36.14,29.26,24.4
1451624418,0.5362,0.00345,0.272066667,0.045016667,0.00085,0.00165,1016.91,9.18,36.14,29.26,24.4
1451624419,0.53415,0.00345,0.270066667,0.04505,0.000833333,0.00175,1016.91,9.18,36.14,29.26,24.4
1451624420,0.533816667,0.00345,0.270033333,0.044933334,0.00085,0.001566667,1016.91,9.18,36.14,29.26,24.4
1451624421,0.523633333,0.00345,0.259816667,0.044816666,0.00085,0.001666667,1016.91,9.18,36.14,29.26,24.4
1451624422,0.57725,0.003416667,0.257,0.044816666,0.000816633,0.001516667,1016.91,9.18,36.14,29.26,24.4
1451624423,0.679566667,0.003433333,0.2571,0.044916667,0.0007834,0.00165,1016.91,9.18,36.14,29.26,24.4
1451624424,1.293166667,0.0034,0.2541,0.044916667,0.0007833,0.001566667,1016.91,9.18,36.14,29.26,24.4
1451624425,1.546666667,0.003433333,0.253933333,0.04425,0.0007834,0.00165,1016.91,9.18,36.14,29.26,24.4
1451624426,1.82235,0.003416667,0.254533333,0.04375,0.000850034,0.0016,1016.91,9.18,36.14,29.26,24.4
1451624427,2.642516667,0.002033333,0.255533333,0.100733334,0.001000033,0.001366667,1016.91,9.18,36.14,29.26,24.4
1451624428,1.73935,0.003133333,0.255816667,0.126233334,0.000950034,0.001583333,1016.91,9.18,36.14,29.26,24.4
1451624429,1.1872,0.003083333,0.256033333,0.044266667,0.0013,0.001166667,1016.91,9.18,36.14,29.26,24.4
1451624430,1.19095,0.003083333,0.256866667,0.044283333,0.001300033,0.00115,1016.91,9.18,36.14,29.26,24.4
1451624431,0.833083333,0.003066667,0.254583333,0.044766667,0.000900034,0.001166667,1016.91,9.18,36.14,29.26,24.4
1451624432,0.834283333,0.003066667,0.25655,0.044766666,0.000933367,0.0012,1016.91,9.18,36.14,29.26,24.4
1451624433,0.840433333,0.003066667,0.256016667,0.044716666,0.0009,0.001183333,1016.91,9.18,36.14,29.26,24.4
1451624434,0.869733333,0.00305,0.256183333,0.044816666,0.0009,0.001233333,1016.91,9.18,36.14,29.26,24.4
1451624435,0.853883333,0.00305,0.2553,0.04475,0.000916667,0.00115,1016.91,9.18,36.14,29.26,24.4
1451624436,0.8491,0.003083333,0.256683333,0.044833333,0.000933367,0.001166667,1016.91,9.18,36.14,29.26,24.4
1451624437,1.013333333,0.00305,0.2542,0.044816667,0.000833333,0.001216667,1016.91,9.18,36.14,29.26,24.4
1451624438,1.3159,0.003033333,0.2478,0.099533334,0.000700033,0.00135,1016.91,9.18,36.14,29.26,24.4
